,title,price,link
10,Imported Oppo A57 Gifts(Charger Jelly Cover Sim Eject Tool)- Dual Sim IMEI Approved - 4/64 Memory ( For User 3/32) - 3GB RAM Mobile - Snapdragon Processor Mobile - Oppo Mobile - Oppo Phone - Mobile Phone on Installment - Budget Phone - 4G Mobile,"Rs. 8,997",https://www.daraz.pk/products/imported-oppo-a57-with-box-charger-dual-sim-approved-3gb-ram-mobile-snapdragon-processor-mobile-oppo-mobile-oppo-phone-mobile-phone-on-installment-budget-phone-4g-mobile-smart-phone-i437875086.html
11,Global Variant Vivo Y17 - Vivo S1 - Vivo Y85 - with Box Dual Engine Fast Turbo Charger Jelly Cover - Dual sim Approved - Vivo Mobile - Vivo Phone - Budget Phone,"Rs. 12,999",https://www.daraz.pk/products/y17-y85-i434158407.html
12,Apple iPhone 12 64GB - NON PTA (FREE CHARGER & COVER) - Daraz Like New Phones (Mobile Phones),"Rs. 61,056",https://www.daraz.pk/products/apple-iphone-12-64gb-non-pta-free-charger-cover-daraz-like-new-phones-mobile-phones-i456957486.html
13,Imported ViVo y97 with Box Charger Sim Eject Tool - 4GB Ram Mobile - 128GB Rom - Dual Sim Approved - Vivo Mobile - Vivo Phone - Mobile Phone on Installment - Budget Phone - 4G Mobile - Smart Phone,"Rs. 13,291",https://www.daraz.pk/products/imported-vivo-y97-with-box-charger-sim-eject-tool-4gb-ram-mobile-128gb-rom-dual-sim-approved-vivo-mobile-vivo-phone-mobile-phone-on-installment-budget-phone-4g-mobile-smart-phone-i458721130.html
14,Calme Z10 - Iphone style camera - 5.5 inch Touch Screen - Dual Sim 4G - 3GB Ram - 32GB Memory - Dual Smart Camera - 4200mAH Battery - MTK Powerful Processor - PTA Approved - 1 Year Brand warranty,"Rs. 12,999",https://www.daraz.pk/products/z10-55-4g-3gb-32gb-4200mah-mtk-pta-1-i752821965.html
15,Oppo F15 with Box Free Charger handsfree Sim Eject Tool - 8Gb Ram Mobile - 256gb Rom(Usable 128Gb) - Dual Sim Approved - Oppo Mobile - Oppo Phone - Mobile Phone - Mobile Phone on Installment - Budget Phone - 4G Mobile - Smart Phone,"Rs. 20,700",https://www.daraz.pk/products/oppo-f15-with-box-free-charger-sim-eject-tool-8gb-ram-mobile-256gb-romusable-128gb-dual-sim-approved-oppo-mobile-oppo-phone-mobile-phone-mobile-phone-on-installment-budget-phone-4g-mobile-smart-phone-i540727569.html
16,Samsung Galaxy A06 6GB RAM + 128 GB ROM,"Rs. 30,249",https://www.daraz.pk/products/samsung-galaxy-a06-6gb-ram-128-gb-rom-i599952532.html
17,Daraz Like New phones - Apple iPhone X 64GB - 10/10 Condition | Non-PTA | Free Charger & Cover,"Rs. 37,998",https://www.daraz.pk/products/x-64gb-1010-pta-i605832103.html
18,Go Mobile Mini G1000 - Finger Size Mobile - Ungli Jitna Mobile - Dual Sim - Official PTA Approved - Without camera - Auto call recording - Voice Changer - Bluetooth - Bluetooth dialer - 380mAH Battery - Smallest Phone in World - Memory card Supported,"Rs. 2,499",https://www.daraz.pk/products/g1000-pta-380mah-i492510633.html
19,Y6 pro 2019 mobile doul sim 3/64 without box 100% original,"Rs. 11,599",https://www.daraz.pk/products/y6-2019-364-100-i470709010.html
20,Combo Deal - Original ViVo Y85 with Box Charger Back Jelly Cover Handsfree Sim Eject Tool - Premium Quality - Dual Sim Approved - ViVo Y85a - 4GB RAM Mobile - Snapdragon Mobile - Vivo Mobile - Vivo Phone - 4gb Mobile Phone - Mobile Phone on Installment -,"Rs. 10,392",https://www.daraz.pk/products/combo-deal-original-vivo-y85-with-box-charger-handsfree-sim-eject-tool-premium-quality-dual-sim-approved-vivo-y85a-4gb-ram-mobile-snapdragon-mobile-vivo-mobile-vivo-phone-4gb-mobile-phone-i436809943.html
21,Samsung Galaxy S25 Ultra 12 GB RAM + 512 GB ROM,"Rs. 399,999",https://www.daraz.pk/products/samsung-galaxy-ultra-12-gb-ram-512-gb-rom-i666803991.html
22,Apple iPhone 11 128GB - Nonpta (FREE CHARGER & COVER) - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 61,999",https://www.daraz.pk/products/apple-iphone-11-128gb-non-pta-free-charger-cover-daraz-like-new-phones-mobile-phones-used-phone-i473195531.html
23,E-TACHI E-PRIME Keypad Mobile,"Rs. 4,500",https://www.daraz.pk/products/e-tachi-e-prime-keypad-mobile-i414698392.html
24,Apple iPhone 8 Plus 64GB -Non PTA - Good Condition - With Charger - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 31,999",https://www.daraz.pk/products/8-256gb-pta-i636571820.html
25,Faywa smart 4g Mobile for Hotspot,"Rs. 9,000",https://www.daraz.pk/products/4g-i518575693.html
26,"Samsung Galaxy A55 5G - 8GB/256GB - 6.6"" Display - 5000 mAh Battery","Rs. 111,999",https://www.daraz.pk/products/samsung-galaxy-a55-5g-8gb256gb-66-display-5000-mah-battery-i496508752.html
27,TECNO SPARK 30C 6GB RAM 128GB ROM 6.67'' Hole Screen 5000mAh Battery PTA APPROVED OFFICIAL ONE YEAR BRAND WARRANTY,"Rs. 30,399",https://www.daraz.pk/products/tecno-spark-30c-6gb-ram-128gb-rom-667-hole-screen-5000mah-battery-pta-approved-official-one-year-brand-warranty-i604878762.html
28,IPHONE 5 BEST FOR GAMING AND WIFI,"Rs. 9,999",https://www.daraz.pk/products/5-16gb-32gb-i479078527.html
29,"Nokia 106 (2023) - 1.8"" Inch Display - Dual Sim - 1000 mAh Battery - Original","Rs. 4,589",https://www.daraz.pk/products/nokia-106-2023-18-inch-display-dual-sim-1000-mah-battery-original-i788618748.html
30,OPPO A18 4GB RAM 64GB ROM,"Rs. 26,399",https://www.daraz.pk/products/oppo-a18-4gb-ram-64gb-rom-i882520026.html
31,E-TACHI E200 Keypad Mobile,"Rs. 4,200",https://www.daraz.pk/products/e-tachi-e200-keypad-mobile-i414701178.html
32,Vivo Y17 with Box Dual Engine Fast Charger Back Jelly Cover Sim Eject Tool - 4GB Ram Mobile - 5000 mah battery - Dual sim Approved - Vivo Mobile - Vivo Phone - 4gb Mobile Phone - Budget Phone - Mobile Phone on Installment,"Rs. 14,397",https://www.daraz.pk/products/vivo-y17-with-box-dual-engine-fast-charger-sim-eject-tool-4gb-ram-mobile-5000-mah-battery-dual-sim-approved-vivo-mobile-vivo-phone-4gb-mobile-phone-budget-phone-mobile-phone-on-installment-i460647868.html
33,Apple iPhone 11 128GB - NON PTA FREE CHARGER & COVER) - Daraz Like New Phones (Mobile Phones),"Rs. 53,444",https://www.daraz.pk/products/apple-iphone-11-128gb-non-pta-free-charger-cover-daraz-like-new-phones-mobile-phones-i454166634.html
34,Oppo F15 with Box Free Charger handsfree Sim Eject Tool - 8Gb Ram Mobile - 256gb Rom(Usable 128Gb) - Dual Sim Approved - Oppo Mobile - Oppo Phone - Mobile Phone - Mobile Phone on Installment - Budget Phone - 4G Mobile - Smart Phone,"Rs. 20,700",https://www.daraz.pk/products/f15-8gb-256gb-128gb-4g-i888776396.html
35,Apple iPhone 14 - 128GB - NON PTA - Good Condition - (FREE CHARGER AND COVER) - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 94,656",https://www.daraz.pk/products/apple-iphone-14-128gb-non-pta-good-condition-free-charger-and-cover-daraz-like-new-phones-mobile-phones-used-phone-i473195142.html
36,vivo X200 FE - 12GB RAM - 512GB - 100X ZEISS Telephoto Zoom - 6500mAh Battery - 90W FlashCharge,"Rs. 219,999",https://www.daraz.pk/products/vivo-x200-fe-12gb-ram-512gb-100x-zeiss-telephoto-zoom-6500mah-battery-90w-flashcharge-i887943180.html
37,Daraz Like New Phones - Motorola Moto G51 5G - 6.8inches - Dual Sim 5G - 8GB Ram - 128GB Rom - 5000mAh Battery FREE COVER AND CHARGER,"Rs. 29,999",https://www.daraz.pk/products/g51-5g-68-8gb-5g-128gb-i602737110.html
38,TECNO SPARK Go 1 4GB RAM 64GB ROM 6.67'' Display 5000mAh Battery PTA Approved One Year Offcial Brand Warranty,"Rs. 24,049",https://www.daraz.pk/products/tecno-spark-go-1-4gb-ram-64gb-rom-667-display-5000mah-battery-pta-approved-one-year-offcial-brand-warranty-i599903892.html
39,Imported ViVo y75 with Box Charger HAndsfree - 4gb Ram Mobile - Selfie Camera with front Moonlight - Vivo Mobile - Vivo Phone - 4gb Mobile Phone - Dual Sim Working,"Rs. 10,995",https://www.daraz.pk/products/imported-vivo-y75-with-box-charger-handsfree-4gb-ram-mobile-selfie-camera-with-front-moonlight-vivo-mobile-vivo-phone-4gb-mobile-phone-dual-sim-working-i648070062.html
